code,date_valo,prix_manar,prix_moteur_sql,ecart,abs_ecart,classification_finale,meilleur_scenario,reduction_pct,reste_apres_choc,type_titre,methode_valo,cause_probable
100946,2026-03-06,105144.71,105144.713079,-0.0030789999873377383,0.0030789999873377383,Dans la tolérance (sensibilité),base_sql,0.0000,-0.003079,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100948,2026-03-06,77165.19,77165.0982,0.09180000000924338,0.09180000000924338,Probablement pas courbe seule,base_sql,0.0000,0.091800,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.0918). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100950,2026-03-06,102252.68,102252.683254,-0.0032540000102017075,0.0032540000102017075,Dans la tolérance (sensibilité),base_sql,0.0000,-0.003254,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100951,2026-03-06,102890.28,102890.280815,-0.0008150000066962093,0.0008150000066962093,Dans la tolérance (sensibilité),base_sql,0.0000,-0.000815,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100952,2026-03-06,101580.38,101580.3818,-0.001799999998183921,0.001799999998183921,Dans la tolérance (sensibilité),base_sql,0.0000,-0.001800,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100953,2026-03-06,102248.06,102248.061549,-0.0015490000077988952,0.0015490000077988952,Dans la tolérance (sensibilité),base_sql,0.0000,-0.001549,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100954,2026-03-06,100781.87,100781.865302,0.004697999989730306,0.004697999989730306,Dans la tolérance (sensibilité),base_sql,0.0000,0.004698,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100957,2026-03-06,101629.93,101629.9286,0.0013999999937368557,0.0013999999937368557,Dans la tolérance (sensibilité),base_sql,0.0000,0.001400,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100958,2026-03-06,102520.44,102520.439408,0.0005919999966863543,0.0005919999966863543,Dans la tolérance (sensibilité),base_sql,0.0000,0.000592,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100959,2026-03-06,101627.06,101627.05595,0.00405000000318978,0.00405000000318978,Dans la tolérance (sensibilité),base_sql,0.0000,0.004050,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100962,2026-03-06,101518.92,101518.919777,0.0002229999954579398,0.0002229999954579398,Dans la tolérance (sensibilité),base_sql,0.0000,0.000223,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100963,2026-03-06,101664.92,101664.924077,-0.004077000005054288,0.004077000005054288,Dans la tolérance (sensibilité),base_sql,0.0000,-0.004077,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100964,2026-03-06,101961.76,101961.758737,0.0012629999982891604,0.0012629999982891604,Dans la tolérance (sensibilité),base_sql,0.0000,0.001263,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100969,2026-03-06,101347.41,101347.411019,-0.0010190000029979274,0.0010190000029979274,Dans la tolérance (sensibilité),base_sql,0.0000,-0.001019,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100970,2026-03-06,104690.63,104690.625456,0.004544000010355376,0.004544000010355376,Dans la tolérance (sensibilité),base_sql,0.0000,0.004544,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100971,2026-03-06,100930.96,100930.957186,0.002814000006765127,0.002814000006765127,Dans la tolérance (sensibilité),base_sql,0.0000,0.002814,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100972,2026-03-06,100554.27,100554.269819,0.00018100001034326851,0.00018100001034326851,Dans la tolérance (sensibilité),base_sql,0.0000,0.000181,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100974,2026-03-06,100604.91,100604.905655,0.004345000008470379,0.004345000008470379,Dans la tolérance (sensibilité),base_sql,0.0000,0.004345,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100975,2026-03-06,100454.06,100454.061071,-0.0010710000060498714,0.0010710000060498714,Dans la tolérance (sensibilité),base_sql,0.0000,-0.001071,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100977,2026-03-06,100314.98,100314.975777,0.004222999996272847,0.004222999996272847,Dans la tolérance (sensibilité),base_sql,0.0000,0.004223,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100979,2026-03-06,100243.1,100243.096072,0.003928000005544163,0.003928000005544163,Dans la tolérance (sensibilité),base_sql,0.0000,0.003928,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100983,2026-03-06,103410.21,103410.212204,-0.002203999989433214,0.002203999989433214,Dans la tolérance (sensibilité),base_sql,0.0000,-0.002204,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
100984,2026-03-06,103360.32,103360.323247,-0.0032469999860040843,0.0032469999860040843,Dans la tolérance (sensibilité),base_sql,0.0000,-0.003247,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-03-06
